Algo,Demand pattern,T,Fixed ordering cost,Proportional ordering cost,Penalty cost,Distribution,Distribution type,Computing time,Cost,s,S,Orders,Inventory
BS,SIN1,10,1000,0,5,normal,1,26.796968,3734.338937752124,[ 84.5 116.6 106.6  43.2 -39.4 -61.  -30.1  34.3  88.9 -59.7],"[521.37591461 393.52273816 268.65920637 146.09779295 359.1971027
 388.00273262 396.98808749 376.73792727 297.25373449 180.52622539]","[5.21375915e+02 0.00000000e+00 6.09404419e-02 8.02991372e+00
 4.64530804e+00 4.62999775e+00 7.82267228e+01 2.83909908e+02
 2.84318998e+01 1.55397220e-03]","[3.91349952e+02 2.41326118e+02 1.14422569e+02 4.64678194e+01
 2.41091769e+01 1.87404718e+01 6.09755317e+01 2.56903056e+02
 1.49369479e+02 3.44713752e-01]"
BS,SIN1,10,1500,0,5,normal,1,26.434576,4742.033932721574,[  84.5  104.9   53.6   12.5  -39.4  -61.   -30.1   34.3   38.8 -159.7],"[521.37591461 393.52273816 511.18461671 401.77561512 359.1971027
 388.00273262 396.98808749 376.73792727 297.25373449 180.52622539]","[5.21375915e+02 0.00000000e+00 9.23834380e-04 6.21717614e+00
 1.76506199e+01 7.18458048e+00 8.42380575e+01 2.59487192e+02
 2.77150133e+01 1.03711247e-03]","[391.34995177 241.32611848 114.36255221  44.59506526  35.24173459
  32.42761225  80.67400676 252.17881479 143.92835176  -5.09693057]"
MCDP,SIN1,10,500,0,5,normal,2,1.86195,2756.485855728767,"[ 4.54278689e+01  8.57517199e+01  8.77937856e+01  5.27095668e+01
  8.70258748e-02 -1.89164957e+01 -3.13045358e+01  2.52202722e+01
  9.88169878e+01  3.69273505e+01]","[496.37545662 414.94796562 286.18549042 155.68848724 148.37914772
 134.4872467  137.48255081 375.59697304 313.57417679 189.19358253]","[4.96375457e+02 0.00000000e+00 3.41556015e+00 4.12929309e+01
 2.29028414e+01 7.00460459e+00 2.72079441e-01 2.40370522e+02
 1.29837014e+02 1.15769401e+00]","[366.3321832  216.29151694  92.75606272  58.06931955  53.96546924
  50.97166901  15.25503145 167.64923593 161.53315678  13.64645602]"
MCDP,SIN1,10,1000,0,5,normal,2,1.697307,3853.668198626431,"[ 33.53134347  78.54893348  85.79216915  34.67156658 -43.70872531
 -64.00880217 -36.89641421  25.13063372  78.94953662 -63.18771792]","[552.00305004 439.30914078 292.83748741 155.9626564  362.84403229
 364.96254272 384.93310547 376.55881691 313.5741169  189.22357521]","[5.52003050e+02 0.00000000e+00 2.03079396e-01 8.79218688e+00
 7.40171216e+00 4.85366088e+00 3.98799451e+01 2.04706692e+02
 1.15844111e+02 1.09254911e+00]","[421.95977662 271.91911036 145.17117539  77.9836882   58.37870863
  53.23396469  57.12519281 173.85556741 153.74658546   5.7947398 ]"
MCDP,SIN1,10,1500,0,5,normal,2,1.854729,4839.362490416405,"[  32.79355181   73.42567957   38.08317651    2.98244722  -43.74964
  -64.01126714  -36.89643169   25.13090935   34.6471079  -163.18778813]","[566.56175261 450.71690979 518.43010654 417.60846939 363.38369217
 365.00732346 384.93376465 376.55925064 313.57016411 189.12292671]","[5.66561753e+02 0.00000000e+00 9.90082438e-03 5.87478859e+00
 1.28912969e+01 4.68740629e+00 3.40398572e+01 1.76321497e+02
 1.16375822e+02 6.31305779e-01]","[436.51847919 286.47781293 159.53669939  89.4318139   75.3164191
  70.00542057  68.05656077 156.40174076 136.82446934 -11.58861966]"
BS,SIN1,10,500,0,5,normal,2,28.293761,2768.429945893776,[131.9 153.1 124.2  65.9   2.7 -18.3 -26.   35.9 106.7  35.9],"[523.16288108 395.27945724 264.74701102 144.71238942 150.51917415
 137.31937235 391.25405623 367.15774187 303.04162673 196.12692808]","[523.16288108   0.           3.73789044  24.89843763  14.09380601
   5.03414519   4.58472092 255.89475907  98.77893648   2.12091398]","[393.11960766 243.0789414  119.86581748  68.78458103  55.87169531
  50.90743568  19.50343959 187.42188159 150.24772472   3.32424393]"
BS,SIN1,10,1000,0,5,normal,2,27.490503,3887.2812154192266,[131.9 153.1 124.2  42.7 -36.9 -55.7 -26.   35.9  86.8 -64.1],"[523.16288108 394.25453455 264.74701102 144.71238942 340.01518268
 372.42512893 391.25405623 367.15774187 303.04162673 196.12692808]","[5.23162881e+02 0.00000000e+00 3.73789044e+00 1.69130349e+01
 1.13342488e+01 9.16710245e+00 6.62984673e+01 2.30527579e+02
 6.01533181e+01 4.05891577e-01]","[393.11960766 243.0789414  119.86581748  60.79917834  45.1267354
  44.29543303  74.6051833  217.15644562 141.35667041  -7.28183279]"
BS,SIN1,10,1500,0,5,normal,2,26.930144,4897.666179853629,[ 131.9  115.9   61.1   16.2  -36.9  -55.8  -26.    35.9   35.4 -164.1],"[523.16288108 394.25453455 505.12993908 400.94285798 340.01518268
 372.42512893 391.25405623 367.15774187 303.04162673 196.12692808]","[5.23162881e+02 0.00000000e+00 5.28449958e-01 3.22735645e+01
 2.94026766e+01 1.25798320e+01 7.23128636e+01 1.80555807e+02
 5.09997663e+01 2.24046063e-01]","[393.11960766 243.0789414  116.65637699  72.95026738  75.34625231
  77.92767944 114.25182607 206.83131602 121.87798901 -26.9423597 ]"
MCDP,SIN1,10,500,0,10,normal,0,0.953375,2593.17463233057,"[ 88.72498801 119.96319166 108.9101871   65.35981445  13.06752317
  -3.1610645    5.23082172  57.21565789 119.50822992  96.55120351]","[297.43973808 422.09048481 277.00738525 152.53477364 164.86949081
 140.20041733 133.07082672 387.09047699 303.68079758 166.83464355]","[2.97439738e+02 4.18186315e-02 2.59549409e+02 4.95327658e-04
 2.48420813e-03 6.19177933e-02 2.27930641e+00 3.78566644e+02
 5.22974893e+00 1.68962651e-03]","[167.42675666  17.4566639  150.02382742  74.03199119  47.03250011
  37.0950665    3.37854143 293.95399386 163.20100464  14.18953463]"
MCDP,SIN1,10,1000,0,10,normal,0,1.6752,3634.21915660144,"[ 85.23529284 119.40063866 108.83464681  64.49175903  -2.85455166
 -31.51794711  -2.5226834   57.21563811 119.50825912  46.55124022]","[551.22029705 425.10770645 277.49059563 152.53489037 164.86874466
 422.71027508 417.79087563 387.09040298 303.67952614 166.86617432]","[5.51220297e+02 0.00000000e+00 0.00000000e+00 3.60032102e-02
 2.95477303e-01 6.78596616e-02 3.68215368e+01 3.51440562e+02
 2.79188287e+00 0.00000000e+00]","[421.20731563 271.19540424 144.21315919  68.25683085  41.55033286
  31.61884112  32.44454647 295.8939163  162.70306101  13.68990138]"
MCDP,SIN1,10,1500,0,10,normal,0,1.689528,4634.379856790758,"[ 85.22335978 119.39987988 106.35272613  31.56863015 -14.98883129
 -31.51797222  -2.52271477  57.2156255  118.44476343  -3.44891392]","[551.30467815 425.11351547 277.4907547  515.38139992 444.78539085
 422.71051712 417.79119453 387.09077301 303.67334232 166.78824463]","[5.51304678e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.73126176e-01 6.31513949e-01 3.68185371e+01 3.51417123e+02
 2.30346944e+00 0.00000000e+00]","[421.29169674 271.27978534 144.29754029  68.30520874  41.47635963
  32.10852217  32.93122781 296.35715889 162.67789017  13.66473054]"
BS,SIN1,10,500,0,10,normal,0,27.797735,2625.179265720769,[ 96.  128.5 115.9  67.7  13.5  -2.9   5.5  60.  120.4  96.4],"[554.48319647 425.49612257 276.44832168 150.56221692 164.81875247
 140.13542427 133.40567783 383.38838882 300.92552269 175.3136843 ]","[5.54483196e+02 0.00000000e+00 0.00000000e+00 3.36770969e-02
 1.47400361e+00 2.77683679e+00 1.27103332e+01 3.30611463e+02
 3.80158670e+01 3.39376893e-03]","[424.47021506 274.45830366 147.47605861  71.51740416  45.98943248
  38.76691786  15.48141962 258.10169034 160.1348192   11.12505333]"
BS,SIN1,10,1000,0,10,normal,0,26.693785,3635.699137986992,[ 96.  128.5 115.9  67.7  -2.4 -28.    0.7  60.  120.4  46.4],"[554.48319647 425.49612257 276.44832168 150.56221692 164.81875247
 420.85555363 415.46584224 383.38838882 300.92552269 175.3136843 ]","[5.54483196e+02 0.00000000e+00 0.00000000e+00 3.36770969e-02
 1.87272438e-01 2.16830585e-01 3.63630213e+01 3.45122559e+02
 2.68678810e+00 0.00000000e+00]","[424.47021506 274.45830366 147.47605861  71.51740416  44.70270131
  34.92018048  35.28737035 292.41873762 159.12278757  10.10962793]"
BS,SIN1,10,1500,0,10,normal,0,26.509395,4635.814513786177,[ 96.  128.5 112.7  35.4 -11.3 -28.    0.7  60.  120.4  -3.6],"[554.48319647 425.49612257 276.44832168 515.72211874 443.91450729
 420.85555363 415.46584224 383.38838882 300.92552269 175.3136843 ]","[5.54483196e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.87563793e-01 6.46657496e-01 3.64140198e+01 3.44978668e+02
 2.36396294e+00 0.00000000e+00]","[424.47021506 274.45830366 147.47605861  71.48372706  44.66931557
  35.31662165  35.73481003 292.7222859  159.10351069  10.09035105]"
MCDP,SIN1,10,500,0,10,normal,1,1.471561,2778.7974765137487,"[ 86.03791906 121.23788756 109.41780711  65.53145775  12.49577285
  -3.92207018   4.73248949  55.26100597 121.27798577  94.64269799]","[532.69453907 424.95249748 280.76733398 155.84789276 168.7391243
 146.40058327 142.13975525 400.73806763 322.36016846 184.67233467]","[5.32694539e+02 0.00000000e+00 2.79028930e-02 1.13390595e+01
 2.16470695e+01 1.09064161e+01 2.06164549e+01 2.39345032e+02
 1.23965237e+02 3.59941755e-01]","[402.66857623 252.64474295 125.70815574  61.06255217  55.70567113
  56.61338442  41.23817638 192.60082446 180.60058545  31.93420776]"
MCDP,SIN1,10,1000,0,10,normal,1,1.604406,3846.0631312410073,"[ 82.28772597 118.59553993 108.13923558  61.34071126  -3.62110556
 -32.13547193  -3.74532569  55.23099342 120.97077462  44.10236093]","[564.32953882 442.04160309 287.03467369 156.32221603 168.739254
 426.41113281 426.58063412 401.18095398 322.35986328 184.61693573]","[5.64329539e+02 0.00000000e+00 1.12894855e-03 2.34358452e+00
 4.37901166e+00 1.25852875e+00 5.35157266e+01 2.66600057e+02
 6.52388039e+01 1.88233950e-02]","[434.30357599 284.2797427  157.31638154  83.67530297  61.05036405
  52.31018999  69.83425368 248.4519265  177.72525405  28.71775799]"
MCDP,SIN1,10,1500,0,10,normal,1,1.83641,4852.752040568417,"[ 81.78312048 118.39651651 103.08562384  31.62481843 -15.13236557
 -32.13588929  -3.74536006  55.23079799 115.26791019  -5.89798947]","[567.84339809 443.29982853 287.12572575 508.76665306 443.57050133
 426.42053604 426.58168793 401.18080139 322.35675049 184.70578575]","[5.67843398e+02 0.00000000e+00 5.68149904e-04 1.49355753e+00
 8.90761462e+00 6.30693971e+00 5.12539129e+01 2.57324208e+02
 6.35969227e+01 1.75091149e-02]","[437.81743526 287.79360197 160.82968002  86.33857445  68.24223849
  64.55047538  79.81272529 249.15454922 176.78599562  27.77718528]"
BS,SIN1,10,500,0,10,normal,1,28.995951,2788.6819025784453,[114.3 144.2 128.5  72.5  13.4  -3.3   5.1  60.8 124.5  93.9],"[553.09779295 425.04228513 276.90312337 151.96063384 168.23710493
 146.10804854 142.61951566 393.50112764 316.52622539 201.48879861]","[5.53097793e+02 0.00000000e+00 2.21198655e-02 5.87175019e+00
 1.15517697e+01 7.61298877e+00 1.62404513e+01 2.56544559e+02
 1.02218493e+02 8.11124894e-01]","[423.07183011 273.04799683 146.10562659  75.99271368  60.54053278
  58.15481873  38.40360707 206.96578175 173.21879879  25.00360423]"
BS,SIN1,10,1000,0,10,normal,1,27.500439,3859.143927285247,[114.3 144.2 128.5  72.5  -2.6 -25.3   2.3  60.8 124.5  43.9],"[553.09779295 425.04228513 276.90312337 151.96063384 168.23710493
 422.73792727 421.25373449 393.50112764 316.52622539 201.48879861]","[5.53097793e+02 0.00000000e+00 2.21198655e-02 5.87175019e+00
 3.98282727e+00 5.56004320e+00 7.61828378e+01 2.64703848e+02
 3.98094249e+01 1.71588681e-02]","[423.07183011 273.04799683 146.10562659  75.99271368  52.97159037
  48.53293075  88.72410559 265.44556968 169.2895183   20.28035772]"
BS,SIN1,10,1500,0,10,normal,1,27.21232,4871.302022900839,[114.3 144.2 119.5  39.1  -8.1 -25.3   2.3  60.8 124.5  -6.1],"[553.09779295 425.04228513 276.90312337 509.98808749 442.03612458
 422.73792727 421.25373449 393.50112764 316.52622539 201.48879861]","[5.53097793e+02 0.00000000e+00 9.91903985e-03 5.59423847e+00
 2.11006471e+01 1.26413341e+01 7.97876420e+01 2.41992412e+02
 3.29520233e+01 2.98379759e-03]","[423.07183011 273.04799683 146.09342576  75.70300113  69.79969768
  72.44232901 116.23830805 270.24833566 167.23488263  18.21154698]"
MCDP,SIN1,10,500,0,10,normal,2,1.679547,2916.673710438796,"[ 88.51542935 126.15510866 114.19829779  66.09249932  11.78125502
  -4.68418869   3.95976243  54.62518843 125.3672529   94.26565009]","[510.25625    424.839785   294.12636337 162.11309052 172.58618469
 152.60592651 151.23206787 411.04899139 341.03764229 202.56790924]","[510.25625      0.           5.21277004  37.10264937  23.16259243
   9.120714    16.10995587 241.87201599 131.29322814   2.38703093]","[380.21297658 230.17231032 108.434066    69.55704129  65.712942
  64.83525118  44.95649004 198.85218896 194.19232375  47.5349599 ]"
MCDP,SIN1,10,1000,0,10,normal,2,1.692457,4044.62541404716,"[ 80.99833953 119.75043788 111.47367951  58.4555885   -4.46815732
 -32.68351214  -4.94278423  54.23864526 122.76201371  41.8236139 ]","[568.35989027 455.67882748 308.32874374 164.40277176 172.59176178
 429.02290077 434.99040413 415.20184021 341.039534   202.4477005 ]","[5.68359890e+02 0.00000000e+00 3.29472971e-01 9.68510158e+00
 9.01563088e+00 3.04005165e+00 5.15052952e+01 2.19847941e+02
 1.10868607e+02 1.21446093e+00]","[438.31661685 288.27595059 161.6544092   95.3598367   77.36877586
  70.41042269  85.92700093 217.79862499 192.71413873  44.88420489]"
MCDP,SIN1,10,1500,0,10,normal,2,1.909225,5065.318088772509,"[ 79.39307107 118.86187779 101.98186562  30.70022319 -15.54917056
 -32.75519329  -4.96775751  54.23463225 112.15970355  -8.34290395]","[580.1798069  461.16198349 309.07351246 502.89075203 442.46595268
 430.1566864  435.3774868  415.2716732  341.04416542 202.48553543]","[5.80179807e+02 0.00000000e+00 9.68171685e-02 1.07108802e+01
 2.05112446e+01 9.42084590e+00 4.88478336e+01 1.88774839e+02
 1.09124658e+02 1.39932403e+00]","[450.13653348 300.09586722 173.24167002 107.97287619 101.47742909
 100.89987018 113.75898682 214.55750906 187.72907327  40.08400253]"
BS,SIN1,10,500,0,10,normal,2,33.906042,2942.597088697425,[249.2 261.4 153.7  81.   13.3  -3.7   4.8  63.5 131.9  93.8],"[551.71238942 424.5884477  277.35792505 153.35905075 171.6554574
 152.08067281 151.8333535  403.61386647 332.12692808 227.66391291]","[5.51712389e+02 3.92999781e-03 3.47929031e+00 1.69390422e+01
 1.09311234e+01 6.52306751e+00 1.41661287e+01 2.42183097e+02
 1.19550828e+02 4.46689143e+00]","[421.66911601 271.63237974 148.16065569  89.12002384  73.04445553
  69.56911822  47.74652991 201.95330991 185.55104497  40.97354162]"
BS,SIN1,10,1000,0,10,normal,2,29.673572,4070.550146559561,[249.2 261.4 153.7  73.7  -2.7 -22.6   4.4  63.5 131.9  41.3],"[551.71238942 424.5884477  277.35792505 153.35905075 171.6554574
 424.6203009  427.04162673 403.61386647 332.12692808 227.66391291]","[5.51712389e+02 3.92999781e-03 3.47929031e+00 1.49534613e+01
 6.88285676e+00 9.63337025e+00 6.86391350e+01 2.34226085e+02
 7.08763039e+01 8.96221026e-01]","[421.66911601 271.63237974 148.16065569  87.13444287  67.01060791
  66.64557334  99.2959913  245.54575949 180.46897004  32.32079629]"
BS,SIN1,10,1500,0,10,normal,2,32.451889,5109.140518929104,[249.2 250.5 131.2  43.6  -5.3 -22.6   4.4  63.5 128.2  -8.7],"[551.71238942 424.5884477  277.35792505 504.25405623 440.15774187
 424.6203009  427.04162673 403.61386647 332.12692808 227.66391291]","[5.51712389e+02 9.06032075e-04 1.53158339e+00 3.31300685e+01
 3.97599245e+01 1.60463846e+01 7.10596001e+01 1.81588979e+02
 5.80293996e+01 3.80635775e-01]","[421.66911601 271.62935578 146.2099248  103.36031922 116.11355203
 122.16153186 157.23241496 250.84507698 172.92138321  24.25762421]"
MCDP,SIN1,10,500,0,20,normal,0,1.5494,2657.4829805688405,"[109.15463574 136.10850835 118.84276049  71.5425312   19.81535475
   3.22015274  20.85300778  72.26727868 130.15967451 122.88752107]","[305.22143211 428.28648605 283.99437675 157.23177719 170.21192017
 144.62607651 136.81353149 396.81160431 311.15294495 172.93695068]","[3.05221432e+02 3.86443301e-01 2.58403309e+02 3.26416931e-04
 2.93088324e-03 5.33923692e-02 7.59923312e+00 3.62638650e+02
 1.86521309e+01 5.31113004e-02]","[175.2084507   25.5829826  157.00404687  81.01204174  54.01299733
  44.06703829  15.67043993 290.31789761 172.9872904   24.02724206]"
MCDP,SIN1,10,1000,0,20,normal,0,1.57614,3712.612529519606,"[107.06132661 135.42974849 118.58182315  71.52044357  13.70736847
 -11.36047387  16.20933515  72.26620769 130.16001862  97.59263423]","[560.01837673 433.97094727 285.71457405 157.29897461 170.21224823
 435.65804672 429.13284988 396.8449976  311.1558609  172.88170471]","[5.60018377e+02 0.00000000e+00 0.00000000e+00 2.83619920e-02
 8.21804021e-01 7.85435503e-01 6.91364729e+01 3.18849565e+02
 2.60595506e+00 3.89638008e-04]","[430.00539531 279.99348392 153.01123887  77.04726931  50.86709804
  41.65318214  74.79382356 305.65219647 172.27541337  23.26264338]"
MCDP,SIN1,10,1500,0,20,normal,0,1.754768,4713.156060900832,"[107.0386027  135.42669285 118.58134596  53.93752099   5.3408708
 -11.36048262  16.20932693  72.2661859  130.15787121  72.59297966]","[560.2881815  434.00728455 285.71451931 157.29879494 459.69673233
 435.65829678 429.13301277 396.84514904 311.1558609  172.94226532]","[5.60288181e+02 0.00000000e+00 0.00000000e+00 1.82925391e-03
 8.45598498e-01 2.17006844e+00 6.81611837e+01 3.19615211e+02
 1.12087732e+00 0.00000000e+00]","[430.27520008 280.26328869 153.28104363  77.29054134  51.13416455
  43.30488158  75.47023377 307.09425275 172.23239192  23.21923228]"
BS,SIN1,10,500,0,20,normal,0,26.549471,2691.5753226023244,[116.2 143.6 125.8  73.8  20.1   3.3  20.9  74.1 130.7 122.8],"[557.72510427 428.50994629 278.50994629 152.8477773  170.40567783
 143.40567783 139.54096791 388.92552269 311.3136843  175.3136843 ]","[5.57725104e+02 0.00000000e+00 0.00000000e+00 4.79543603e-02
 2.07674615e+00 3.39535047e+00 2.74773576e+01 2.82387871e+02
 7.44241786e+01 2.03206543e-01]","[427.71212285 277.70021146 150.71796641  74.77358922  49.84836008
  43.24435913  34.72588528 229.12256406 167.56400446  18.75405137]"
BS,SIN1,10,1000,0,20,normal,0,27.596096,3719.986407941572,[116.2 143.6 125.8  73.8  14.2  -8.8  18.3  74.1 130.7  97.8],"[557.72510427 428.50994629 278.50994629 152.8477773  170.40567783
 429.38838882 424.92552269 388.92552269 311.3136843  175.3136843 ]","[5.57725104e+02 0.00000000e+00 0.00000000e+00 4.79543603e-02
 1.09256147e+00 1.93186592e+00 8.64136508e+01 2.95111608e+02
 2.66862436e+00 1.53942249e-03]","[427.71212285 277.70021146 150.71796641  74.77358922  48.8641754
  40.79668991  91.21450928 298.33492557 165.02081178  16.00919156]"
BS,SIN1,10,1500,0,20,normal,0,26.156685,4720.8216622189975,[116.2 143.6 125.8  56.2   8.1  -8.8  18.3  74.1 130.7  72.8],"[557.72510427 428.50994629 278.50994629 528.46584224 456.38838882
 429.38838882 424.92552269 388.92552269 311.3136843  175.3136843 ]","[5.57725104e+02 0.00000000e+00 0.00000000e+00 1.81499738e-02
 1.62963187e+00 3.52689123e+00 8.64371620e+01 2.94897439e+02
 6.48327081e-01 0.00000000e+00]","[427.71212285 277.70021146 150.71796641  74.74378483  49.37144141
  42.89898123  93.34031176 300.24655923 164.91214816  15.89898852]"
MCDP,SIN1,10,500,0,20,normal,1,1.535964,2866.019053332416,"[110.51140283 143.6701026  125.78772848  74.4864944   19.45326641
   2.64027896  20.82958271  72.70190508 137.25141651 124.77485394]","[535.85862274 427.98204041 285.01564522 162.88577614 179.42036591
 155.2522419  149.62874298 418.70056267 337.30864105 196.71793671]","[5.35858623e+02 0.00000000e+00 8.95043617e-02 1.37928311e+01
 2.22292397e+01 1.10618006e+01 3.18894890e+01 2.19535651e+02
 1.43223557e+02 8.00864775e-01]","[405.8326599  255.80882662 128.93384088  66.74200885  61.96729793
  63.03039573  58.92822176 190.48148929 197.73956981  49.51411514]"
